"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EUR)","Link clicks",shop_clicks,"CPC (cost per link click) (EUR)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EUR)","Landing page views","Cost per landing page view (EUR)"
2026-04-08,2026-05-07,"2/ Problem aware 4 zonder actie",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Sterk voor (klein)kinderen",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Problem aware 1",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Uniek 1",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Most aware 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Problem aware 2 - vernieuwd 28 jan",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Collage ad",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Carrousel apparaten",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Product aware 1",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Most aware 1",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Golf invalshoek",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Unaware 1",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Product aware 1 zonder actie",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Most aware 1",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Product aware 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Unaware 2 - zonder cta",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,12.5,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Static- Review",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.custom.1653344085698461,346,2.476879,17.11,15,Daily,17.11,Ongoing,-,-,-,857,19.964994,20,,0.8555,2.333722,30,3.500583,0.570333,14,1.222143
2026-04-08,2026-05-07,"2/ Uniek 6 - zonder actie",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.custom.1653344085698461,4313,2.137723,66.695,15,Daily,133.39,Ongoing,-,-,-,9220,14.467462,308,,0.433084,3.340564,444,4.815618,0.300428,191,0.698377
2026-04-08,2026-05-07,"Static- Afvallen met medicijnen",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,1249,1.320256,,15,Daily,23.39,Ongoing,-,-,-,1649,14.184354,27,,0.866296,1.637356,95,5.761067,0.246211,22,1.063182
2026-04-08,2026-05-07,"2/ Problem aware 4 zonder actie - Copy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.custom.1653344085698461,1920,2.146875,31.625,15,Daily,63.25,Ongoing,-,-,-,4122,15.344493,87,,0.727011,2.110626,140,3.39641,0.451786,53,1.193396
2026-04-08,2026-05-07,"Uniek 5 actie",active,"7-day click, 1-day view, or 1-day engaged-view",2,actions:offsite_conversion.custom.1653344085698461,2191,1.842081,26.385,15,Daily,52.77,Ongoing,-,-,-,4036,13.074827,161,,0.327764,3.989098,216,5.351834,0.244306,96,0.549688
2026-04-08,2026-05-07,"Static- Review",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,Testimonial,active,"7-day click, 1-day view, or 1-day engaged-view",,,653,1.42879,,15,Daily,13.59,Ongoing,-,-,-,933,14.565916,38,,0.357632,4.072883,72,7.717042,0.18875,26,0.522692
2026-04-08,2026-05-07,"Actie vid 1",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,156,1.051282,,15,Daily,2.32,Ongoing,-,-,-,164,14.146341,2,,1.16,1.219512,2,1.219512,1.16,1,2.32
2026-04-08,2026-05-07,"Unieke actie De Margrieten",active,"7-day click, 1-day view, or 1-day engaged-view",,,1934,1.3697,,15,Daily,30.9,Ongoing,-,-,-,2649,11.664779,88,,0.351136,3.322008,183,6.908267,0.168852,59,0.523729
2026-04-08,2026-05-07,"Static- Co Founder",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,12.5,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Annelieke creative, korte copy CTA",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Problem aware 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Most aware 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Uniek 6",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Uniek 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Problem aware 5",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Solution aware 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Static- Co Founder",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Problem aware 3",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Uniek 5",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Algemeen, minder dan 1%",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Ouder koppel",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Uniek 3",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"2/ Unaware 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Product aware 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"Uniek 2",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-04-08,2026-05-07,"fit20 voor iedereen",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,0,0,,15,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
