"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EUR)","Link clicks",shop_clicks,"CPC (cost per link click) (EUR)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EUR)","Landing page views","Cost per landing page view (EUR)"
2025-07-04,2026-05-08,"Carrousel - groep 2",inactive,"7-day click or 1-day view",,,4451,2.635812,,21,Daily,180.57,Ongoing,-,-,-,11732,15.391238,231,,0.781688,1.968974,777,6.622912,0.232394,104,1.73625
2025-07-04,2026-05-08,"Afbeelding - groep 1",inactive,"7-day click or 1-day view",,,9259,1.985096,,21,Daily,211.62,Ongoing,-,-,-,18380,11.513602,414,,0.511159,2.252448,1429,7.774755,0.14809,273,0.775165
2025-07-04,2026-05-08,Collage,inactive,"7-day click or 1-day view",1,actions:offsite_conversion.custom.1968994793916535,5872,2.351328,165.7,21,Daily,165.7,Ongoing,-,-,-,13807,12.001159,365,,0.453973,2.643587,936,6.77917,0.17703,236,0.702119
2025-07-04,2026-05-08,"Video - afbeelding roulerend",inactive,"7-day click or 1-day view",2,actions:offsite_conversion.custom.1968994793916535,4560,2.621272,104.065,21,Daily,208.13,Ongoing,-,-,-,11953,17.412365,123,,1.692114,1.02903,258,2.158454,0.806705,103,2.02068
2025-07-04,2026-05-08,"Afbeelding - 3 dames in cabines",not_delivering,"7-day click or 1-day view",20,actions:offsite_conversion.custom.1968994793916535,23312,2.502831,36.0265,21,Daily,720.53,Ongoing,-,-,-,58346,12.349261,1036,,0.695492,1.775614,3667,6.284921,0.19649,930,0.774763
2025-07-04,2026-05-08,"Afbeelding - 3 dames in cabines - Winner",inactive,"7-day click or 1-day view",7,actions:offsite_conversion.custom.1968994793916535,6253,1.742044,20.28142857,5,Daily,141.97,Ongoing,-,-,-,10893,13.033141,170,,0.835118,1.560635,650,5.967135,0.218415,158,0.898544
2025-07-04,2026-05-08,"Collage nieuw",inactive,"7-day click or 1-day view",3,actions:offsite_conversion.custom.1968994793916535,6479,2.179194,64.68666667,21,Daily,194.06,Ongoing,-,-,-,14119,13.744599,664,,0.292259,4.702883,1343,9.512005,0.144497,610,0.318131
2025-07-04,2026-05-08,"Video zelfbeeld en onzekerheid 1",inactive,"7-day click or 1-day view",2,actions:offsite_conversion.custom.1968994793916535,2531,2.127618,36.365,21,Daily,72.73,Ongoing,-,-,-,5385,13.506035,161,,0.451739,2.989786,310,5.756732,0.234613,116,0.626983
2025-07-04,2026-05-08,"Emotional desire 1_versie 2",inactive,"7-day click or 1-day view",,,2441,1.795166,,21,Daily,60.96,Ongoing,-,-,-,4382,13.911456,121,,0.503802,2.761296,171,3.902328,0.356491,83,0.734458
2025-07-04,2026-05-08,"Unaware 1_versie 2",inactive,"7-day click or 1-day view",,,2612,1.842649,,21,Daily,84.18,Ongoing,-,-,-,4813,17.490131,123,,0.68439,2.555579,285,5.921463,0.295368,95,0.886105
2025-07-04,2026-05-08,"Product aware 1",inactive,"7-day click or 1-day view",1,actions:offsite_conversion.custom.1968994793916535,3164,1.422566,60.2,21,Daily,60.2,Ongoing,-,-,-,4501,13.374806,131,,0.459542,2.910464,157,3.488114,0.383439,84,0.716667
2025-07-04,2026-05-08,"Solution aware 1",not_delivering,"7-day click or 1-day view",8,actions:offsite_conversion.custom.1968994793916535,18777,2.215104,63.8575,21,Daily,510.86,Ongoing,-,-,-,41593,12.282355,961,,0.531592,2.310485,1570,3.774674,0.325389,755,0.676636
2025-07-04,2026-05-08,"Unaware 2",inactive,"7-day click or 1-day view",,,1301,1.687164,,21,Daily,31.59,Ongoing,-,-,-,2195,14.3918,77,,0.41026,3.507973,97,4.419134,0.32567,43,0.734651
2025-07-04,2026-05-08,"2) problem aware 2",inactive,"7-day click or 1-day view",,,3648,1.405702,,21,Daily,62.99,Ongoing,-,-,-,5128,12.283541,75,,0.839867,1.462559,156,3.042122,0.403782,57,1.105088
2025-07-04,2026-05-08,"2) emotional desire 2",not_delivering,"7-day click or 1-day view",6,actions:offsite_conversion.custom.1968994793916535,11549,2.162265,43.75666667,21,Daily,262.54,Ongoing,-,-,-,24972,10.513375,480,,0.546958,1.922153,919,3.680122,0.28568,332,0.790783
2025-07-04,2026-05-08,"2) solution aware 2",inactive,"7-day click or 1-day view",,,3612,1.330011,,21,Daily,51.88,Ongoing,-,-,-,4804,10.799334,86,,0.603256,1.790175,189,3.934221,0.274497,71,0.730704
2025-07-04,2026-05-08,"2) product aware 1",inactive,"7-day click or 1-day view",,,3783,1.472376,,21,Daily,63.21,Ongoing,-,-,-,5570,11.348294,88,,0.718295,1.579892,186,3.339318,0.339839,62,1.019516
2025-07-04,2026-05-08,"2) solution aware 1",inactive,"7-day click or 1-day view",3,actions:offsite_conversion.custom.1968994793916535,8472,1.626889,49.66666667,21,Daily,149,Ongoing,-,-,-,13783,10.810419,278,,0.535971,2.016977,492,3.569615,0.302846,215,0.693023
2025-07-04,2026-05-08,ozontherapie,inactive,"7-day click or 1-day view",2,actions:offsite_conversion.custom.1968994793916535,4185,1.762724,49.26,21,Daily,98.52,Ongoing,-,-,-,7377,13.355022,220,,0.447818,2.982242,325,4.405585,0.303138,165,0.597091
2025-07-04,2026-05-08,Reviews,inactive,"7-day click or 1-day view",,,515,1.718447,,21,Daily,12.45,Ongoing,-,-,-,885,14.067797,14,,0.889286,1.581921,17,1.920904,0.732353,12,1.0375
2025-07-04,2026-05-08,"2) Unaware 3",inactive,"7-day click or 1-day view",,,3710,1.3531,,21,Daily,58.31,Ongoing,-,-,-,5020,11.615538,103,,0.566117,2.051793,201,4.003984,0.2901,87,0.67023
2025-07-04,2026-05-08,"2) Unaware 1",inactive,"7-day click or 1-day view",1,actions:offsite_conversion.custom.1968994793916535,4247,1.35531,70.21,21,Daily,70.21,Ongoing,-,-,-,5756,12.197707,128,,0.548516,2.223767,229,3.978457,0.306594,99,0.709192
2025-07-04,2026-05-08,"Short 1- actie",active,"7-day click or 1-day view",,,881,1.239501,,15,Daily,12.01,Ongoing,-,-,-,1092,10.998169,22,,0.545909,2.014652,35,3.205128,0.343143,19,0.632105
2025-07-04,2026-05-08,"Actie video 1",active,"7-day click or 1-day view",3,actions:offsite_conversion.custom.1968994793916535,2700,1.545185,18.62666667,15,Daily,55.88,Ongoing,-,-,-,4172,13.394056,131,,0.426565,3.139981,200,4.793864,0.2794,94,0.594468
2025-07-04,2026-05-08,Testimonial,active,"7-day click or 1-day view",2,actions:offsite_conversion.custom.1968994793916535,1927,1.609756,22.285,15,Daily,44.57,Ongoing,-,-,-,3102,14.36815,81,,0.550247,2.611219,213,6.866538,0.209249,63,0.70746
2025-07-04,2026-05-08,"Afbeelding - groep 3 - later",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-07-04,2026-05-08,"emotional desire 1 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-07-04,2026-05-08,"emotional desire 3 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-07-04,2026-05-08,"problem aware 1 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-07-04,2026-05-08,"problem aware 3 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-07-04,2026-05-08,"product aware 2 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-07-04,2026-05-08,"product aware 3 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-07-04,2026-05-08,"solution aware 3 nog te runnen",inactive,"7-day click or 1-day view",,,0,0,,21,Daily,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2025-07-04,2026-05-08,"2) Product aware 2",inactive,"7-day click or 1-day view",2,actions:offsite_conversion.custom.1968994793916535,5368,1.515835,47.91,21,Daily,95.82,Ongoing,-,-,-,8137,11.775839,135,,0.709778,1.659088,234,2.875753,0.409487,114,0.840526
